cdl_year,county_fips5,cdl_value,category,pixel_count,acreage
2022,06099,226,Dbl Crop Oats/Corn,21558,4794.4
2022,06099,227,Lettuce,313,69.6
2022,06099,228,Dbl Crop Triticale/Corn,2564,570.2
2022,06099,229,Pumpkins,704,156.6
2022,06099,236,Dbl Crop WinWht/Sorghum,135,30.0
2022,06099,237,Dbl Crop Barley/Corn,45,10.0
2022,06099,238,Dbl Crop WinWht/Cotton,38,8.5
2022,06099,242,Blueberries,6,1.3
2022,06107,1,Corn,83234,18510.8
2022,06107,2,Cotton,26988,6002.0
2022,06107,3,Rice,8,1.8
2022,06107,4,Sorghum,4312,959.0
2022,06107,6,Sunflowers,170,37.8
2022,06107,12,Sweet Corn,64,14.2
2022,06107,21,Barley,8693,1933.3
2022,06107,22,Durum Wheat,38,8.5
2022,06107,23,Spring Wheat,14328,3186.5
2022,06107,24,Winter Wheat,222860,49562.9
2022,06107,27,Rye,514,114.3
2022,06107,28,Oats,58694,13053.2
2022,06107,33,Safflower,4391,976.5
2022,06107,35,Mustard,7,1.6
2022,06107,36,Alfalfa,158932,35345.6
2022,06107,37,Other Hay/Non Alfalfa,6833,1519.6
2022,06107,41,Sugarbeets,229,50.9
2022,06107,42,Dry Beans,242,53.8
2022,06107,43,Potatoes,1461,324.9
2022,06107,44,Other Crops,302,67.2
2022,06107,46,Sweet Potatoes,5,1.1
2022,06107,47,Misc Vegs & Fruits,139,30.9
2022,06107,49,Onions,716,159.2
2022,06107,51,Chick Peas,17,3.8
2022,06107,53,Peas,214,47.6
2022,06107,54,Tomatoes,10070,2239.5
2022,06107,57,Herbs,34,7.6
2022,06107,58,Clover/Wildflowers,30,6.7
2022,06107,61,Fallow/Idle Cropland,149327,33209.5
2022,06107,66,Cherries,24893,5536.1
2022,06107,67,Peaches,58925,13104.6
2022,06107,68,Apples,1608,357.6
2022,06107,69,Grapes,254814,56669.3
2022,06107,71,Other Tree Crops,26479,5888.8
2022,06107,72,Citrus,528903,117625.2
2022,06107,74,Pecans,237,52.7
2022,06107,75,Almonds,512583,113995.7
2022,06107,76,Walnuts,213578,47498.6
2022,06107,77,Pears,908,201.9
2022,06107,111,Open Water,43017,9566.8
2022,06107,112,Perennial Ice/Snow,2765,614.9
2022,06107,121,Developed/Open Space,262539,58387.3
2022,06107,122,Developed/Low Intensity,137338,30543.2
2022,06107,123,Developed/Medium Intensity,149935,33344.7
2022,06107,124,Developed/High Intensity,37544,8349.6
2022,06107,131,Barren,556393,123738.8
2022,06107,141,Deciduous Forest,22338,4967.9
2022,06107,142,Evergreen Forest,3385498,752916.6
2022,06107,143,Mixed Forest,10442,2322.2
2022,06107,152,Shrubland,3943949,877113.1
2022,06107,176,Grass/Pasture,1925116,428135.5
2022,06107,190,Woody Wetlands,8466,1882.8
2022,06107,195,Herbaceous Wetlands,24568,5463.8
2022,06107,204,Pistachios,437883,97382.8
2022,06107,205,Triticale,62280,13850.7
2022,06107,206,Carrots,236,52.5
